,city,latitude,longitude,temperature,humidity,cloudiness,wind speed,country
0,Mataura,-46.1927,168.8643,46.27,73,5,2.71,NZ
1,Ushuaia,-54.8,-68.3,30.94,91,77,3.49,AR
2,Sun City West,33.662,-112.3413,98.29,19,4,2.73,US
3,Hasaki,35.7333,140.8333,84.45,71,87,22.86,JP
4,Ribeira Grande,38.5167,-28.7,73.02,91,11,3.06,PT
5,Butaritari,3.0707,172.7902,82.87,78,33,12.55,KI
6,Sangar,63.9242,127.4739,70.99,52,37,1.5,RU
7,Tezu,27.9167,96.1667,95.34,49,7,3.56,IN
8,Bilibino,68.0546,166.4372,79.43,36,94,22.44,RU
9,Punta Arenas,-53.15,-70.9167,35.11,80,66,16.53,CL
10,Okhotsk,59.3833,143.3,65.1,67,0,11.56,RU
11,Mar del Plata,-38.0023,-57.5575,49.53,72,100,15.55,AR
12,Albany,42.6001,-73.9662,71.35,89,92,4.61,US
13,Uíge,-7.6087,15.0613,59.27,86,77,2.26,AO
14,Pevek,69.7008,170.3133,42.04,90,38,27.63,RU
15,Bredasdorp,-34.5322,20.0403,44.29,86,0,5.06,ZA
16,Airai,-8.9266,125.4092,71.56,55,72,5.17,TL
17,Qaanaaq,77.484,-69.3632,39.99,70,0,2.26,GL
18,Nong Bua,15.8646,100.5858,92.7,60,97,6.53,TH
19,Sarangani,5.4033,125.4636,82.54,75,100,10.76,PH
20,Upernavik,72.7868,-56.1549,42.91,81,33,6.98,GL
21,New Norfolk,-42.7826,147.0587,52.14,68,100,2.37,AU
22,Aleksandrov Gay,50.147,48.5704,76.82,42,0,9.62,RU
23,Busselton,-33.65,115.3333,66.81,78,93,26.15,AU
24,Nikolskoye,59.7035,30.7861,66.0,71,15,3.96,RU
25,Stary Oskol,51.2967,37.8417,71.87,61,86,8.84,RU
26,Ponta do Sol,32.6667,-17.1,67.73,73,11,6.33,PT
27,Nemuro,43.3236,145.575,60.96,84,86,9.04,JP
28,Cururupu,-1.8283,-44.8683,72.12,88,5,0.78,BR
29,Vaitape,-16.5167,-151.75,80.22,76,100,16.13,PF
30,Sondershausen,51.3667,10.8667,61.83,83,70,2.04,DE
31,Hermanus,-34.4187,19.2345,48.52,83,1,12.15,ZA
32,Barrow,71.2906,-156.7887,48.83,90,95,22.17,US
33,Bluff,-46.6,168.3333,49.6,72,8,4.68,NZ
34,Bandarbeyla,9.4942,50.8122,86.52,56,10,21.79,SO
35,Yellowknife,62.456,-114.3525,63.3,56,66,8.57,CA
36,Rikitea,-23.1203,-134.9692,70.47,78,5,19.13,PF
37,Vaini,-21.2,-175.2,72.97,75,16,23.51,TO
38,Saint Paul Harbor,57.79,-152.4072,59.22,75,22,6.62,US
39,Kikwit,-5.041,18.8162,75.56,39,81,1.41,CD
40,Nanortalik,60.1432,-45.2371,42.69,87,17,2.89,GL
41,Vostok,46.4856,135.8833,79.59,52,37,3.96,RU
42,Hithadhoo,-0.6,73.0833,83.12,69,93,7.76,MV
43,Cuamba,-14.8031,36.5372,65.34,73,76,3.67,MZ
44,Mahébourg,-20.4081,57.7,71.19,71,73,14.52,MU
45,Puerto Ayora,-0.7393,-90.3518,67.75,88,56,8.14,EC
46,Isiro,2.7739,27.616,69.13,96,38,1.41,CD
47,São Filipe,14.8961,-24.4956,75.04,83,71,13.22,CV
48,Aquiraz,-3.9014,-38.3911,74.16,77,67,11.65,BR
49,Uulu,58.2789,24.5774,63.61,72,68,6.13,EE
50,Jamestown,42.097,-79.2353,68.5,89,40,7.07,US
51,Barcelos,41.5388,-8.6151,61.09,79,0,3.4,PT
52,San Quintín,30.4833,-115.95,67.15,86,0,12.39,MX
53,Pundaguitan,6.3711,126.1689,82.36,77,90,18.1,PH
54,Castro,-24.7911,-50.0119,54.14,93,100,3.11,BR
55,Novoshcherbinovskaya,46.4767,38.6476,75.99,55,100,15.21,RU
56,Hobart,-42.8794,147.3294,53.04,67,95,6.96,AU
57,Port Macquarie,-31.4333,152.9167,67.96,57,52,11.63,AU
58,Provideniya,64.3833,-173.3,56.16,80,70,9.24,RU
59,Garachiné,8.0647,-78.3628,77.85,82,92,1.61,PA
60,Vila Franca do Campo,37.7167,-25.4333,70.54,90,56,5.93,PT
61,Mount Gambier,-37.8333,140.7667,54.12,65,40,11.63,AU
62,Bayanday,53.0661,105.5139,69.98,73,89,3.87,RU
63,Geraldton,-28.7667,114.6,72.28,38,0,14.63,AU
64,Kapaa,22.0752,-159.319,78.64,82,95,17.94,US
65,Pilot Butte,50.4668,-104.4178,59.74,82,19,6.62,CA
66,Sola,-13.8833,167.55,81.43,83,82,22.77,VU
67,Vao,-22.6667,167.4833,71.22,82,15,16.37,NC
68,Quang Ngai,15.1167,108.8,96.3,45,40,11.01,VN
